Unique ID,Brief description of event,State,District,Type of Event,Date of event,Number of Participants,Uploaded Geotag Photo,Uploaded Video Clip,Zoo_Name
22702,"In order to draw attention to the increasing rate of Air Pollution in the environment and to bring awareness about our lifestyle, a program was organized today at Saraswati Kanya Inter College, Lucknow.",Uttar Pradesh (UP),Lucknow,Awareness,45058,117,Awareness Programme on mission life,,Nawab Wajid Ali Shah ZG
22717,"To inform the messages of mission life, today a program was organized at Amacus Academy . The students were given information about mission life.",Uttar Pradesh (UP),Lucknow,Awareness,45058,170,Awareness Programme on mission life,,Nawab Wajid Ali Shah ZG
34019,???? ???? ?? ??????? ?????? 13.05.2023 ?? ?????? 6.45-7.45 ?? ???? ????? ??? ??? ?????? ?????? ??? ???? ????????? ??? ??????? ???? ????????? ????? ???,Uttar Pradesh (UP),Lucknow,Awareness,45059,45,Awareness Programme on mission life,Awareness Programme on mission life,Nawab Wajid Ali Shah ZG
34050,"Today, a meeting was held on Mission LiFE under the chairmanship of Director Mr. V.K.Mishra. In the meeting, a resolution was taken to organize educational programs in the Lucknow Zoo through awareness programs and to spread the message of Mission Life to the masses.",Uttar Pradesh (UP),Lucknow,Awareness,45059,25,Awareness Programme on mission life,Awareness Programme on mission life,Nawab Wajid Ali Shah ZG
36156,Students made paper bags out of old newspapers. About 350 bags were made. The idea of repurposing old papers to make paper bags that can be used instead of plastic bags was taught to students.,Karnataka (KA),Mysore,Action & Awareness both,45054,65,Making of Paper Bags,Making of Paper Bags video,Sri Chamarajendra ZG
36354,BEST OUT OF WASTE- Students were taught to use waste natural materials to prepare animal images and they were taught about their importance in our ecosystem and how to protect them by changing our lifestyle.,Karnataka (KA),Mysore,Action & Awareness both,45055,60,BEST OUT OF WASTE,,Sri Chamarajendra ZG
36494,Adopt Healthy Lifestyle actions - Preparation of Seed Balls,Karnataka (KA),Mysore,Action & Awareness both,45057,60,Preparation of Seed Balls,Seed Balls Preparation,Sri Chamarajendra ZG
36685,"Awareness session on sustainable lifestyle practices to contribute for sustainable environment. 
LiFE mission. # Pro Planet Program.",Karnataka (KA),Mysore,Awareness,45058,63,Meri LiFE Awareness Session,Meri LiFE Awareness Session,Sri Chamarajendra ZG
60,"NZP in collaboration with NMNH kick-start the Mass Mobilisation for Mission LiFE on Waste Reduced (Swachhata Actions) to bring behavioral changes among the masses, in which a PPT on waste management, demonstration and interactive session. The participants also pledged to adopt the LiFE Actions.",Delhi (DL),South Delhi,Action & Awareness both,45051,75,Activity and Demonstration,Lecture Cum Demonstration,National ZP
1761,"School  and Veterinary college students joined LiFE Movement at NZP in collaboration with NMNH on second day of Mass awareness campaign. The NZP organized the activities like Bicycle rally, LiFE pledge, video presentation on LiFE and signature campaign to create awareness among 210 participants.",Delhi (DL),South Delhi,Action & Awareness both,45052,210,Activity and Demonstration,Bicycle rally,National ZP
11253,"For the Day 3 of Mass Awareness Campaign of Mission LiFE NZP in collaboration with NMNH, 283 participants involved in tree hugging, enumeration, administration of LiFE Style for Environment Pledge and screening of short videos on Mission Life.",Delhi (DL),South Delhi,Action & Awareness both,45053,283,Activity and Demonstration,Lecture Cum Demonstration,National ZP
11262,"247 visitors were made acquainted about the LiFE movement on day 4 of the mass mobilisation of MISSION LIFE, organised by NZP in partnership with NMNH. This exposure  encouraged them to develop imaginative paintings, all pledged to live a more sustainable LiFE",Delhi (DL),South Delhi,Action & Awareness both,45054,247,Activity and Demonstration,Lecture Cum Demonstration,National ZP
11267,NZP in collaboration with NMNH nudging individuals to lead environment-friendly lifestyles via Mass Awareness Campaign under Mission LiFE. 261 visitors pledged to practice simple sustainable LiFE actions in their daily lives also shown the excitement of making bird feeders,Delhi (DL),South Delhi,Action & Awareness both,45055,261,Activity and Demonstration,Lecture Cum Demonstration,National ZP
11284,The mass mobilization's Day 6 focused on the concept of waste segregation at the NZP in association with NMNH India. Videos from Mission-LiFE were used to illustrate the same.,Delhi (DL),South Delhi,Action & Awareness both,45056,125,Activity and Demonstration,Lecture Cum Demonstration,National ZP
34690,"Day 7 of Mass mobilisation, NZP have successfully achieved a major milestone in Mission-LiFE initiative and took over a built-up cabin truck from IOCL. This marks the start of a pollution-free environment for NZP and its surroundings.",Delhi (DL),South Delhi,Action & Awareness both,45057,125,Activity and Demonstration,Lecture Cum Demonstration,National ZP
34866,"To summarize the Day 8 of Mission LiFE mass mobilization effort at NZP, in partnership with NMNH, 202 students took part in identifying plants. This was followed by viewing videos on sustainability and making a commitment towards leading a sustainable lifestyle.",Delhi (DL),South Delhi,Action & Awareness both,45058,202,Activity and Demonstration,Lecture Cum Demonstration,National ZP
34907,"Day 8 of Mass mobilisation of Mission LiFE at NZP in collaboration with NMNH, forest trainees and school students joined and introduced about the LiFE movement & working of Zoo. Students were engaged in bird count activity to mark the World Migratory Bird Day.",Delhi (DL),South Delhi,Action & Awareness both,45059,245,Activity and Demonstration,Lecture Cum Demonstration,National ZP
40489,"Day 10 of the Mass awareness campaign for Mission LiFE at NZP, where 192 students participated in LiFE movement and capture the beautiful scenery of NZP, followed by a pledge to adopt sustainable lifestyle.",Delhi (DL),South Delhi,Action & Awareness both,45060,192,Activity and Demonstration,,National ZP
35336,As a part of Mission LiFE campaign Zoo Biologist Dr. Abhishek Satam explained the concept of Mission Life to all the animal keepers at Veermata Jijabai Bhosle Botanical Udyan and Zoo following which everyone pledged their support and participation towards this mission.,Maharashtra (MH),Mumbai City,Action & Awareness both,45059,20,The Keepers at Zoo taken pledged of mission LiFE,The Keepers at Zoo taken pledged of mission LiFE,VJBB Udyan & Zoo
40582,"Today we conducted part 1 of the 'Nurtured by Nature Kids Workshop'
It was indeed a fun learning experience for kids making natural colours using different fruits and vegetables and using them to create some lovely paintings! Followed by game web of Life.",Maharashtra (MH),Mumbai City,Action & Awareness both,45060,40,Part 1 of the 'Nurtured by Nature Kids Workshop'.,Part 1 of the 'Nurtured by Nature Kids Workshop'.,VJBB Udyan & Zoo
39238,Mission LiFE awareness videos are being played on TV from 9 AM to 5 PM. The interaction centre is a place where people spend more time so showing the videos here will get their attention.,Tamil Nadu (TN),Chennai,Awareness,45055,100,Visitors watching Mission LiFE videos on TV,,MCBT
39280,"The pros of using cloth bags were discussed with the participants of the ""Be A Zookeeper"" program. Participants were given cloth bags to use instead of plastic bags. They were encouraged to stop using single use plastics that are harmful to the environment.",Tamil Nadu (TN),Chennai,Action & Awareness both,45060,19,Back to totes!,,MCBT
41181,Healthy Life Style Adopted - Treasure Hunt – Theme: Flora and Fauna,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness both,45060,100,,,Indira Gandhi ZP
41256,Plantation Drive,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness both,45060,100,1. Healthy lifestyles Adopted,Healthy lifestyles Adopted,Indira Gandhi ZP
41294,Healthy lifestyles Adopted – on topic Biodiversity Conservation along with a Butterfly Trail,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness both,45060,120,1. Healthy lifestyles Adopted,,Indira Gandhi ZP
41295,Healthy lifestyles Adopted – on topic Biodiversity Conservation along with a Butterfly Trail,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness both,45060,120,1. Healthy lifestyles Adopted,,Indira Gandhi ZP
41313,Reduce Single Use Plastic - Visitors Awareness Session,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness both,45060,298,Reduce Single Use Plastic,,Indira Gandhi ZP
41333,Life Style for Environment – Pledge and Rally,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness both,45060,500,Pledge and Rally,,Indira Gandhi ZP
41362,Healthy Life Style Adopted - Let’s Ride –Bicycle Ride,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness both,45060,298,1. Healthy lifestyles Adopted,,Indira Gandhi ZP
41391,Healthy Life Style Adopted - Battery Operated Vehicle - Use of Eco-friendly mode of transport,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness both,45060,500,Healthy lifestyles Adopted,,Indira Gandhi ZP
